htid,author,title,year
nyp.33433074911300,"Summersett, Henry.","Martyn of Fenrose; or, The wizard and the sword",1801
nyp.33433074911375,"Smollett, T.",The adventures of Roderick Random,1748
nyp.33433074911516,"Smith, Charlotte Turner", Emmeline,1788
nyp.33433074913587,"Haywood, Eliza", The Invisible Spy,1755
nyp.33433074913645,"Haywood, Eliza", History of Miss Betsy Thoughtless,1751
nyp.33433074915236,William Morris,Well at the World's End,1896
nyp.33433074919576,"Alexander, Miriam", The ripple,1913
nyp.33433074920442,"Newte, Horace"," A Young Lady, a study in selectness",1913
nyp.33433074927280,"Hay, Ian. (Beith, John Hay)", The Right Stuff,1910
nyp.33433074930185,"BrontÌÎ_‰Û¡ÌÝ_, Charlotte,",Villette,1853
nyp.33433074930391,"Brooke, Emma", The Engrafted Rose ,1900
nyp.33433074934708,"Cameron, Mrs. Lovett", A Passing Fancy,1899
nyp.33433074935077,"Cannan, Gilbert", The Stucco House,1918
nyp.33433074939806,"Binns, Otwell", A Mating in the Wild,1920
nyp.33433074940838,"Blackmore, R. D.",Lorna Doone,1869
nyp.33433074940952,"Cholmondeley, Mary", The Danvers Jewels (1886) and Sir Charles Danvers (1889),1899
nyp.33433074943535,"Aumonier, Stacy", One after Another,1920
nyp.33433074943634,Jane Austen,Pride and Prejudice,1813
nyp.33433074944731,"Cournos, John", The Mask,1919
nyp.33433074946231,"Askew, Alice and Claude", The Rod of Justice,1910
nyp.33433074948542,"Lennox, Charlotte,","The female Quixote; or, The adventures of Arabella",1752
nyp.33433074949623,"Creswell, Harry Bulkeley", Thomas,1919
nyp.33433074955091,"Radcliffe, Ann", A Sicilian Romance 2 vols,1792
nyp.33433074967500,"Edgeworth, Maria,",Castle Rackrent;,1800
nyp.33433074969241,"Dickens, Charles,",Our mutual friend,1866
nyp.33433075723134,Regina Roche,Houses of Osma and Almeria,1810
nyp.33433075727598,"Fothergill, Jessie", The First Violin,1878
nyp.33433075743058,"Scott, Walter,",Guy Mannering;,1815
nyp.33433075743751,"Scott, Walter,",Redgauntlet,1824
nyp.33433075744486,"Scott, Walter,","Woodstock ; or, The cavalier",1826
nyp.33433075751366,"Stacpoole, Henry de Vere", Fanny Lambert,1910
nyp.33433075751481,"Stacpoole, Henry de Vere", Sea plunder,1917
nyp.33433075758882,"Trollope, Anthony,","Phineas Finn, the Irish member",1869
nyp.33433075763338,"Thackeray, William Makepeace,",The Virginians,1857
nyp.33433075764203,Mary Augusta Ward,Sir George Tressady,1895
nyp.33433075786081,"Eliot, George,",Silas Marner,1861
nyp.33433076035462,"Rowson, Susanna"," Sarah, or the Exemplary wife",1813
nyp.33433076057375,Sax Rohmer,Dope,1919
nyp.33433082167747,"Dickens, Charles,",The personal history of David Copperfield,1849
nyp.33433082256334,John Ruskin,King of the Golden River,1851
nyp.33433082377494,"Boswell, James,","The life of Samuel Johnson, LL. D",1791
nyp.33433106907953,"Pemberton, Max", The Iron Pirate,1893
nyp.33433107645784,"Hudson, Stephen"," Concessions, by Sydney Schiff",1913
nyp.33433107875183,David Garnett,Lady into Fox,1922
osu.32435000222471,"Wodehouse, P.G", A Damsel in Distress,1919
osu.32435001024223,"Balfour, Frederic Henry", Cherryfield Hall,1895
osu.32435001931377,"Orczy, Emma", Beau Brocade,1907
osu.32435002107092,"Alexander, Miriam", The port of dreams,1912
osu.32435005038302,"Dowie, M?nie Muriel", Love and His Mask,1901
